"ID";"NameOfStation";"Line";"Longitude_WGS84";"Latitude_WGS84";"AdmArea";"District";"Year";"Month";"global_id";"geodata_center";"geoarea";
"№ п/п";"Станция метрополитена";"Линия";"Долгота в WGS-84";"Широта в WGS-84";"Административный округ";"Район";"Год";"Месяц";"global_id";"geodata_center";"geoarea";
"2";"Выхино";"Таганско-Краснопресненская линия";"37.81860885";"55.71545536";"Юго-Восточный административный округ";"район Выхино-Жулебино";"2023";"Июль";"2606843755";"";"";
"3";"Тёплый стан";"Калужско-Рижская линия";"37.50697019";"55.61863853";"Юго-Западный административный округ";"район Ясенево";"2023";"Июль";"2606843756";"";"";
"4";"Щёлковская";"Арбатско-Покровская линия";"37.79874691";"55.80974166";"Восточный административный округ";"район Северное Измайлово";"2023";"Июль";"2606843759";"";"";
"5";"Домодедовская";"Замоскворецкая линия";"37.71878552";"55.61087011";"Южный административный округ";"район Орехово-Борисово Южное";"2023";"Июль";"2606843770";"";"";
"6";"Текстильщики";"Таганско-Краснопресненская линия";"37.73242901";"55.70881677";"Юго-Восточный административный округ";"район Текстильщики";"2023";"Июль";"2606843771";"";"";
"7";"Новогиреево";"Калининская линия";"37.81742514";"55.723330";"Восточный административный округ";"район Вешняки";"2023";"Июль";"2606843772";"";"";
"8";"ВДНХ";"Калужско-Рижская линия";"37.64142125";"55.82118628";"Северо-Восточный административный округ";"Останкинский район";"2023";"Июль";"2606843774";"";"";
"9";"Царицыно";"Замоскворецкая линия";"37.66917139";"55.62167819";"Южный административный округ";"район Царицыно";"2023";"Июль";"2606843776";"";"";
"10";"Бульвар Дмитрия Донского";"Серпуховско-Тимирязевская линия";"37.57755224";"55.56967951";"Юго-Западный административный округ";"район Северное Бутово";"2023";"Июль";"2606843777";"";"";
"1";"Комсомольская";"Кольцевая линия";"37.65486112";"55.77574627";"Центральный административный округ";"Красносельский район";"2023";"Август";"2615275987";"";"";
"2";"Выхино";"Таганско-Краснопресненская линия";"37.81860885";"55.71545536";"Юго-Восточный административный округ";"район Выхино-Жулебино";"2023";"Август";"2615276013";"";"";
"3";"Щёлковская";"Арбатско-Покровская линия";"37.79874691";"55.80974166";"Восточный административный округ";"район Северное Измайлово";"2023";"Август";"2615276059";"";"";
"4";"Тёплый стан";"Калужско-Рижская линия";"37.50697019";"55.61863853";"Юго-Западный административный округ";"район Ясенево";"2023";"Август";"2615276089";"";"";
"5";"Текстильщики";"Таганско-Краснопресненская линия";"37.73242901";"55.70881677";"Юго-Восточный административный округ";"район Текстильщики";"2023";"Август";"2615276107";"";"";
"6";"Домодедовская";"Замоскворецкая линия";"37.71878552";"55.61087011";"Южный административный округ";"район Орехово-Борисово Южное";"2023";"Август";"2615276135";"";"";
"7";"Новогиреево";"Калининская линия";"37.81742514";"55.723330";"Восточный административный округ";"район Вешняки";"2023";"Август";"2615276150";"";"";
"8";"ВДНХ";"Калужско-Рижская линия";"37.64142125";"55.82118628";"Северо-Восточный административный округ";"Останкинский район";"2023";"Август";"2615276192";"";"";
"9";"Бульвар Дмитрия Донского";"Серпуховско-Тимирязевская линия";"37.57755224";"55.56967951";"Юго-Западный административный округ";"район Северное Бутово";"2023";"Август";"2615276227";"";"";
"10";"Царицыно";"Замоскворецкая линия";"37.66917139";"55.62167819";"Южный административный округ";"район Царицыно";"2023";"Август";"2615276267";"";"";
"1";"Комсомольская";"Кольцевая линия";"37.65486112";"55.77574627";"Центральный административный округ";"Красносельский район";"2023";"Сентябрь";"2622020102";"";"";
"2";"Выхино";"Таганско-Краснопресненская линия";"37.81860885";"55.71545536";"Юго-Восточный административный округ";"район Выхино-Жулебино";"2023";"Сентябрь";"2622020103";"";"";
"3";"Текстильщики";"Таганско-Краснопресненская линия";"37.73242901";"55.70881677";"Юго-Восточный административный округ";"район Текстильщики";"2023";"Сентябрь";"2622020104";"";"";
"4";"Щёлковская";"Арбатско-Покровская линия";"37.79874691";"55.80974166";"Восточный административный округ";"район Северное Измайлово";"2023";"Сентябрь";"2622020109";"";"";
"5";"Тёплый стан";"Калужско-Рижская линия";"37.50697019";"55.61863853";"Юго-Западный административный округ";"район Ясенево";"2023";"Сентябрь";"2622020110";"";"";
"6";"Новогиреево";"Калининская линия";"37.81742514";"55.723330";"Восточный административный округ";"район Вешняки";"2023";"Сентябрь";"2622020111";"";"";
"7";"Домодедовская";"Замоскворецкая линия";"37.71878552";"55.61087011";"Южный административный округ";"район Орехово-Борисово Южное";"2023";"Сентябрь";"2622020112";"";"";
"8";"Бульвар Дмитрия Донского";"Серпуховско-Тимирязевская линия";"37.57755224";"55.56967951";"Юго-Западный административный округ";"район Северное Бутово";"2023";"Сентябрь";"2622020113";"";"";
"9";"ВДНХ";"Калужско-Рижская линия";"37.64142125";"55.82118628";"Северо-Восточный административный округ";"Останкинский район";"2023";"Сентябрь";"2622020114";"";"";
"10";"Царицыно";"Замоскворецкая линия";"37.66917139";"55.62167819";"Южный административный округ";"район Царицыно";"2023";"Сентябрь";"2622020115";"";"";
